sku_id,description,weight_kg,volume_m3,hazmat_class,requires_temperature_zone,abc_class
SKU-A001,Widget Type A - High Velocity,45.000,0.2500,,AMBIENT,A
SKU-A002,Component B Assembly,120.000,0.6000,,AMBIENT,A
SKU-A003,Packaging Material Roll,15.000,0.8000,,AMBIENT,A
SKU-A004,Electronic Module X200,8.500,0.0400,,AMBIENT,A
SKU-A005,Consumer Goods Unit P,30.000,0.2000,,AMBIENT,A
SKU-A006,Retail Box Assembly RB,22.000,0.1800,,AMBIENT,A
SKU-A007,Bulk Powder Container,200.000,1.0000,,AMBIENT,A
SKU-A008,Automotive Part AF-12,85.000,0.4000,,AMBIENT,A
SKU-A009,Standard Pallet Load SL,500.000,2.0000,,AMBIENT,A
SKU-A010,Fast-Moving Consumer Good,18.000,0.1200,,AMBIENT,A
SKU-B001,Medium Velocity Widget,60.000,0.3500,,AMBIENT,B
SKU-B002,Industrial Component IC-7,150.000,0.7500,,AMBIENT,B
SKU-B003,Spare Part Assembly SP-23,35.000,0.2200,,AMBIENT,B
SKU-B004,Tool Kit TK-Standard,12.000,0.0600,,AMBIENT,B
SKU-B005,Office Supply Bundle OS,5.000,0.0300,,AMBIENT,B
SKU-B006,Machine Sub-Assembly MSA,300.000,1.5000,,AMBIENT,B
SKU-B007,Textile Roll TR-100,80.000,0.9000,,AMBIENT,B
SKU-B008,Plastic Component PC-45,25.000,0.1500,,AMBIENT,B
SKU-B009,Metal Bracket MB-12,40.000,0.2000,,AMBIENT,B
SKU-B010,Rubber Seal RS-8,2.000,0.0100,,AMBIENT,B
SKU-C001,Slow Mover SC-001,70.000,0.4000,,AMBIENT,C
SKU-C002,Archived Document Box,10.000,0.5000,,AMBIENT,C
SKU-C003,Legacy Part LP-99,180.000,0.9000,,AMBIENT,C
SKU-C004,Surplus Material SM-7,55.000,0.3000,,AMBIENT,C
SKU-C005,Overflow Stock OV-3,90.000,0.4500,,AMBIENT,C
SKU-F001,Frozen Meal Tray FM-1,8.000,0.0400,,FROZEN,A
SKU-F002,Ice Cream Carton IC-2L,2.500,0.0020,,FROZEN,A
SKU-F003,Frozen Vegetable Pack FV,1.000,0.0010,,FROZEN,B
SKU-F004,Frozen Protein Portion PP,5.000,0.0050,,FROZEN,B
SKU-F005,Bulk Frozen Commodity BF,50.000,0.0500,,FROZEN,C
SKU-CH001,Fresh Dairy Product DP,3.000,0.0030,,CHILLED,A
SKU-CH002,Chilled Juice Carton CJ,1.500,0.0010,,CHILLED,A
SKU-CH003,Yogurt Multipack YM,0.800,0.0010,,CHILLED,B
SKU-CH004,Prepared Meal Kit PMK,4.500,0.0040,,CHILLED,B
SKU-CH005,Cold Cut Deli Pack CD,2.000,0.0020,,CHILLED,C
SKU-HZ001,Industrial Solvent IS-1,30.000,0.0250,3,AMBIENT,B
SKU-HZ002,Cleaning Chemical CC-8,25.000,0.0200,8,AMBIENT,C
SKU-HZ003,Compressed Gas Cylinder CG,50.000,0.1000,2,AMBIENT,C
SKU-HZ004,Battery Pack BP-LiIon,15.000,0.0100,9,AMBIENT,B
SKU-HZ005,Oxidizing Agent OA-15,20.000,0.0180,5.1,AMBIENT,C
SKU-A011,Fast Mover Product FM11,40.000,0.2100,,AMBIENT,A
SKU-A012,Priority SKU PR-12,55.000,0.2900,,AMBIENT,A
SKU-A013,High Demand Item HD-13,72.000,0.3800,,AMBIENT,A
SKU-A014,Velocity Leader VL-14,110.000,0.5500,,AMBIENT,A
SKU-A015,Top Seller TS-15,28.000,0.1600,,AMBIENT,A
SKU-B011,Medium Mover MM-11,65.000,0.3400,,AMBIENT,B
SKU-B012,Standard Volume SV-12,105.000,0.5200,,AMBIENT,B
SKU-B013,Regular Product RP-13,42.000,0.2300,,AMBIENT,B
SKU-B014,Planned Order PO-14,88.000,0.4300,,AMBIENT,B
SKU-B015,Seasonal Item SI-15,35.000,0.1900,,AMBIENT,B
